Year,Year Code,State,StateCode,Deaths,Population,Avg Daily Max Heat Index (C),,,
2001,2001,Indiana,IN,10,6127760,32.42,,,
2001,2001,Iowa,IA,9,2931997,33.43,,,
2001,2001,Kansas,KS,6,2702162,33.63,,,
2001,2001,Kentucky,KY,7,4068132,31.93,,,
2001,2001,Louisiana,LA,12,4477875,33.85,,,
2001,2001,Maine,ME,0,1285692,30.25,,,
2001,2001,Maryland,MD,16,5374691,31.08,,,
2001,2001,Massachusetts,MA,0,6397634,30.87,,,
2001,2001,Michigan,MI,17,9991120,31.74,,,
2001,2001,Minnesota,MN,21,4982796,32.62,,,
2001,2001,Mississippi,MS,6,2852994,33.16,,,
2001,2001,Missouri,MO,43,5641142,33.7,,,
2001,2001,Montana,MT,0,906961,29.6,,,
2001,2001,Nebraska,NE,0,1719836,32.63,,,
2001,2001,Nevada,NV,20,2098399,29.22,,,
2001,2001,New Hampshire,NH,0,1255517,30.5,,,
2001,2001,New Jersey,NJ,7,8492671,30.99,,,
2001,2001,New Mexico,NM,0,1831690,29.53,,,
2001,2001,New York,NY,17,19082838,30.77,,,
2001,2001,North Carolina,NC,3,8210122,31.42,,,
2001,2001,North Dakota,ND,0,639062,31.64,,,
2001,2001,Ohio,OH,10,11387404,31.16,,,
2001,2001,Oklahoma,OK,21,3467100,34.17,,,
2001,2001,Oregon,OR,0,3467937,28.39,,,
2001,2001,Pennsylvania,PA,38,12298970,30.53,,,
2001,2001,Rhode Island,RI,0,1057142,30.7,,,
2001,2001,South Carolina,SC,4,4064995,32.29,,,
2001,2001,South Dakota,SD,0,757972,32.77,,,
2001,2001,Tennessee,TN,5,5750789,32.14,,,
2001,2001,Texas,TX,65,21319622,33.51,,,
2001,2001,Utah,UT,0,2283715,29.31,,,
2001,2001,Vermont,VT,0,612223,30.45,,,
2001,2001,Virginia,VA,7,7198362,30.8,,,
2001,2001,Washington,WA,0,5985722,29.19,,,
2001,2001,West Virginia,WV,0,1801481,30.46,,,
2001,2001,Wisconsin,WI,23,5406835,32.78,,,
2001,2001,Wyoming,WY,0,494657,29.04,,,
2002,2002,Alabama,AL,8,4480089,33.54,,,
2002,2002,Alaska,AK,0,642337,0,,,
2002,2002,Arizona,AZ,46,5396255,31.35,,,
2002,2002,Arkansas,AR,4,2705927,34.23,,,
2002,2002,California,CA,46,34871843,31.57,,,
2002,2002,Colorado,CO,0,4490406,30,,,
2002,2002,Connecticut,CT,0,3458749,32.42,,,
2002,2002,Delaware,DE,0,806169,32.3,,,
2002,2002,District of Columbia,DC,0,573158,32.73,,,
2002,2002,Florida,FL,17,16689370,33.66,,,
2002,2002,Georgia,GA,12,8508256,33.26,,,
2002,2002,Hawaii,HI,0,1239613,0,,,
2002,2002,Idaho,ID,0,1340372,29.23,,,
2002,2002,Illinois,IL,54,12525556,33.62,,,
2002,2002,Indiana,IN,6,6155967,32.83,,,
2002,2002,Iowa,IA,1,2934234,33.06,,,
2002,2002,Kansas,KS,3,2713535,33.5,,,
2002,2002,Kentucky,KY,8,4089875,32.68,,,
2002,2002,Louisiana,LA,7,4497267,34.71,,,
2002,2002,Maine,ME,0,1295960,31.61,,,
2002,2002,Maryland,MD,60,5440389,32.22,,,
2002,2002,Massachusetts,MA,0,6417206,32.25,,,
2002,2002,Michigan,MI,12,10015710,31.58,,,
2002,2002,Minnesota,MN,0,5018935,31.98,,,
2002,2002,Mississippi,MS,4,2858681,34.19,,,
2002,2002,Missouri,MO,28,5674825,33.6,,,
2002,2002,Montana,MT,0,911667,29.94,,,
2002,2002,Nebraska,NE,0,1728292,32.71,,,
2002,2002,Nevada,NV,30,2173791,29.59,,,
2002,2002,New Hampshire,NH,0,1269089,31.62,,,
2002,2002,New Jersey,NJ,19,8552643,32.31,,,
2002,2002,New Mexico,NM,0,1855309,29.83,,,
2002,2002,New York,NY,13,19137800,31.37,,,
2002,2002,North Carolina,NC,12,8326201,32.82,,,
2002,2002,North Dakota,ND,0,638168,30.95,,,
